IB 7270,Москва,2021-05-07,05:30,Екатеринбург,2021-05-07,16:14,Boeing 777-300,13505
SU 1701,Париж,2021-05-06,07:50,Владивосток,2021-05-06,07:50,Boeing 777-400,23309
SU 1903,Нью-Йорк,2021-05-04,05:30,Киров,2021-05-06,15:50,Boeing 777-300,13718
SU 1702,Париж,2021-05-05,00:50,Екатеринбург,2021-05-05,16:14,Airbus A319,13469
SU 1903,Нью-Йорк,2021-05-04,00:50,Париж,2021-05-04,07:50,Boeing 777-300,8771
SU 1702,Париж,2021-05-04,03:05,Екатеринбург,2021-05-07,16:14,Boeing 777-300,14642
SU 1903,Киров,2021-05-06,15:22,Париж,2021-05-07,05:30,Airbus A319,13802
SU 1701,Киров,2021-05-05,03:05,Москва,2021-05-07,15:22,Boeing 777-300,12833
SU 1903,Москва,2021-05-05,00:50,Киров,2021-05-05,16:14,Boeing 777-300,23280
SU 1701,Екатеринбург,2021-05-04,15:22,Москва,2021-05-07,16:14,Boeing 777-400,14665
SU 1701,Нью-Йорк,2021-05-07,07:50,Владивосток,2021-05-07,16:14,Boeing 777-300,13094
IB 7270,Лондон,2021-05-04,07:50,Киров,2021-05-05,05:30,Boeing 777-300,13839
SU 1701,Нью-Йорк,2021-05-05,07:50,Владивосток,2021-05-07,05:30,Boeing 777-300,12775
SU 1903,Киров,2021-05-05,16:14,Париж,2021-05-05,16:14,Boeing 777-400,13272
IB 7270,Москва,2021-05-04,15:50,Екатеринбург,2021-05-06,16:14,Boeing 777-300,13695
SU 1702,Москва,2021-05-04,15:50,Киров,2021-05-06,16:14,Boeing 777-400,14345
IB 7270,Лондон,2021-05-06,03:05,Нью-Йорк,2021-05-07,03:05,Boeing 777-400,9464
IB 7270,Лондон,2021-05-05,07:50,Нью-Йорк,2021-05-07,15:50,Airbus A319,13084
IB 7270,Нью-Йорк,2021-05-05,03:05,Париж,2021-05-06,15:22,Boeing 777-400,23145
SU 1701,Париж,2021-05-06,16:14,Екатеринбург,2021-05-07,16:14,Boeing 777-400,13188
SU 1701,Екатеринбург,2021-05-04,00:50,Москва,2021-05-04,05:30,Boeing 777-400,13556
SU 1702,Екатеринбург,2021-05-06,16:14,Владивосток,2021-05-07,00:50,Boeing 777-300,13269
SU 1702,Нью-Йорк,2021-05-04,05:30,Владивосток,2021-05-06,15:22,Airbus A319,13260
SU 1702,Париж,2021-05-04,15:50,Киров,2021-05-06,03:05,Boeing 777-300,13316
SU 1701,Киров,2021-05-06,00:50,Нью-Йорк,2021-05-07,07:50,Boeing 777-300,23502
SU 1702,Париж,2021-05-05,16:14,Нью-Йорк,2021-05-05,16:14,Boeing 777-400,14526
SU 1701,Париж,2021-05-04,16:14,Владивосток,2021-05-05,05:30,Boeing 777-300,14934
SU 1903,Лондон,2021-05-06,03:05,Владивосток,2021-05-07,00:50,Airbus A319,23098
SU 1903,Киров,2021-05-04,07:50,Лондон,2021-05-05,16:14,Boeing 777-300,14607
IB 7270,Лондон,2021-05-04,00:50,Нью-Йорк,2021-05-07,03:05,Boeing 777-300,14819
SU 1903,Екатеринбург,2021-05-05,03:05,Лондон,2021-05-06,16:14,Airbus A319,13449
SU 1701,Лондон,2021-05-04,03:05,Екатеринбург,2021-05-07,05:30,Boeing 777-300,9585
IB 7270,Владивосток,2021-05-04,07:50,Нью-Йорк,2021-05-06,15:50,Boeing 777-300,14781
IB 7270,Лондон,2021-05-06,15:50,Париж,2021-05-06,15:50,Boeing 777-400,22705
SU 1903,Владивосток,2021-05-04,05:30,Екатеринбург,2021-05-05,03:05,Boeing 777-400,14993
SU 1701,Екатеринбург,2021-05-04,16:14,Москва,2021-05-05,00:50,Boeing 777-300,13653
SU 1702,Нью-Йорк,2021-05-04,07:50,Москва,2021-05-04,15:22,Airbus A319,22932
IB 7270,Екатеринбург,2021-05-04,05:30,Нью-Йорк,2021-05-06,00:50,Boeing 777-300,12667
SU 1701,Лондон,2021-05-05,05:30,Киров,2021-05-07,15:50,Boeing 777-400,13831
SU 1702,Нью-Йорк,2021-05-05,00:50,Лондон,2021-05-07,00:50,Airbus A319,13022
SU 1702,Киров,2021-05-04,05:30,Екатеринбург,2021-05-07,05:30,Boeing 777-400,13098
SU 1903,Нью-Йорк,2021-05-04,00:50,Лондон,2021-05-07,00:50,Airbus A319,9250
IB 7270,Париж,2021-05-06,03:05,Киров,2021-05-07,03:05,Boeing 777-400,13869
SU 1903,Москва,2021-05-05,07:50,Киров,2021-05-05,16:14,Boeing 777-400,13093
SU 1701,Лондон,2021-05-06,00:50,Париж,2021-05-07,05:30,Boeing 777-300,22921
IB 7270,Екатеринбург,2021-05-06,03:05,Владивосток,2021-05-07,15:50,Airbus A319,22706
SU 1702,Лондон,2021-05-04,07:50,Париж,2021-05-06,15:22,Boeing 777-300,12922
IB 7270,Париж,2021-05-05,15:22,Нью-Йорк,2021-05-06,16:14,Boeing 777-400,23348
SU 1702,Лондон,2021-05-04,05:30,Екатеринбург,2021-05-07,00:50,Boeing 777-300,23318
SU 1903,Париж,2021-05-05,05:30,Лондон,2021-05-06,07:50,Airbus A319,14411
SU 1702,Владивосток,2021-05-04,16:14,Екатеринбург,2021-05-07,15:22,Boeing 777-300,9630
SU 1702,Киров,2021-05-07,00:50,Нью-Йорк,2021-05-07,00:50,Boeing 777-400,23217
SU 1903,Киров,2021-05-04,16:14,Екатеринбург,2021-05-06,07:50,Airbus A319,23092
SU 1701,Екатеринбург,2021-05-04,07:50,Москва,2021-05-07,07:50,Airbus A319,23237
SU 1702,Киров,2021-05-06,03:05,Москва,2021-05-07,00:50,Boeing 777-300,13298
IB 7270,Владивосток,2021-05-05,16:14,Лондон,2021-05-06,16:14,Airbus A319,9051
IB 7270,Нью-Йорк,2021-05-04,16:14,Киров,2021-05-07,15:22,Airbus A319,13321
SU 1701,Киров,2021-05-04,03:05,Нью-Йорк,2021-05-07,16:14,Boeing 777-400,23574
SU 1903,Киров,2021-05-05,15:50,Екатеринбург,2021-05-07,07:50,Boeing 777-400,13504
SU 1701,Париж,2021-05-06,05:30,Екатеринбург,2021-05-07,16:14,Boeing 777-400,22885
SU 1903,Лондон,2021-05-05,00:50,Москва,2021-05-05,07:50,Boeing 777-400,23497
SU 1701,Владивосток,2021-05-04,15:22,Париж,2021-05-06,03:05,Boeing 777-300,23138
IB 7270,Екатеринбург,2021-05-06,03:05,Лондон,2021-05-07,03:05,Boeing 777-300,14573
IB 7270,Екатеринбург,2021-05-04,15:22,Лондон,2021-05-07,03:05,Boeing 777-400,13249
SU 1701,Лондон,2021-05-04,05:30,Владивосток,2021-05-04,15:22,Airbus A319,23227
SU 1701,Лондон,2021-05-07,00:50,Киров,2021-05-07,16:14,Boeing 777-300,14581
IB 7270,Владивосток,2021-05-05,05:30,Лондон,2021-05-05,15:22,Airbus A319,9144
SU 1701,Киров,2021-05-06,05:30,Владивосток,2021-05-07,05:30,Airbus A319,9344
IB 7270,Екатеринбург,2021-05-04,16:14,Нью-Йорк,2021-05-05,15:22,Boeing 777-300,13424
IB 7270,Екатеринбург,2021-05-06,15:22,Нью-Йорк,2021-05-07,03:05,Boeing 777-300,8976
IB 7270,Нью-Йорк,2021-05-05,15:22,Киров,2021-05-07,15:50,Airbus A319,22882
SU 1701,Лондон,2021-05-05,15:50,Москва,2021-05-07,00:50,Boeing 777-400,14857
IB 7270,Париж,2021-05-04,15:50,Нью-Йорк,2021-05-07,00:50,Boeing 777-400,22936
IB 7270,Париж,2021-05-04,16:14,Нью-Йорк,2021-05-06,05:30,Boeing 777-400,14893
SU 1701,Париж,2021-05-05,05:30,Екатеринбург,2021-05-06,05:30,Boeing 777-400,15225
SU 1701,Москва,2021-05-04,03:05,Екатеринбург,2021-05-07,00:50,Boeing 777-400,14523
SU 1903,Нью-Йорк,2021-05-05,05:30,Екатеринбург,2021-05-05,16:14,Airbus A319,13000
IB 7270,Владивосток,2021-05-04,07:50,Нью-Йорк,2021-05-04,16:14,Boeing 777-300,13045
SU 1702,Нью-Йорк,2021-05-06,00:50,Киров,2021-05-06,05:30,Airbus A319,13304
SU 1903,Лондон,2021-05-04,16:14,Владивосток,2021-05-05,03:05,Airbus A319,15003
IB 7270,Париж,2021-05-05,07:50,Лондон,2021-05-05,15:50,Boeing 777-400,14453
SU 1903,Киров,2021-05-05,05:30,Лондон,2021-05-06,05:30,Boeing 777-400,15288
SU 1903,Москва,2021-05-04,07:50,Нью-Йорк,2021-05-04,15:22,Boeing 777-300,14821
SU 1903,Нью-Йорк,2021-05-05,03:05,Екатеринбург,2021-05-07,00:50,Airbus A319,23166
SU 1701,Париж,2021-05-04,15:50,Екатеринбург,2021-05-06,05:30,Boeing 777-400,13726
SU 1702,Лондон,2021-05-06,15:22,Екатеринбург,2021-05-07,16:14,Boeing 777-300,23023
SU 1702,Лондон,2021-05-04,03:05,Екатеринбург,2021-05-07,16:14,Boeing 777-300,15068
SU 1903,Нью-Йорк,2021-05-06,00:50,Москва,2021-05-06,15:50,Boeing 777-300,12802
IB 7270,Лондон,2021-05-04,05:30,Киров,2021-05-04,15:50,Boeing 777-400,9458
SU 1702,Екатеринбург,2021-05-04,15:22,Москва,2021-05-06,15:50,Airbus A319,9215
IB 7270,Москва,2021-05-04,07:50,Нью-Йорк,2021-05-04,16:14,Boeing 777-300,23240
IB 7270,Владивосток,2021-05-05,07:50,Нью-Йорк,2021-05-06,00:50,Airbus A319,15202
SU 1702,Москва,2021-05-06,00:50,Екатеринбург,2021-05-07,16:14,Boeing 777-400,13360
IB 7270,Лондон,2021-05-06,15:22,Москва,2021-05-07,07:50,Boeing 777-400,13120
IB 7270,Екатеринбург,2021-05-04,16:14,Нью-Йорк,2021-05-06,16:14,Boeing 777-300,12647
IB 7270,Москва,2021-05-04,07:50,Владивосток,2021-05-06,07:50,Boeing 777-300,13148
SU 1701,Екатеринбург,2021-05-04,03:05,Нью-Йорк,2021-05-06,07:50,Boeing 777-400,14517
SU 1903,Нью-Йорк,2021-05-06,15:50,Екатеринбург,2021-05-07,05:30,Airbus A319,9197
SU 1903,Екатеринбург,2021-05-06,16:14,Москва,2021-05-07,16:14,Airbus A319,9551
SU 1701,Париж,2021-05-06,03:05,Нью-Йорк,2021-05-06,07:50,Boeing 777-400,23205
SU 1903,Москва,2021-05-07,00:50,Лондон,2021-05-07,00:50,Airbus A319,12953
SU 1903,Париж,2021-05-04,07:50,Нью-Йорк,2021-05-07,03:05,Boeing 777-300,22880
SU 1701,Москва,2021-05-05,05:30,Владивосток,2021-05-06,07:50,Boeing 777-300,9504
SU 1702,Владивосток,2021-05-04,15:22,Киров,2021-05-05,15:22,Airbus A319,13614
SU 1701,Екатеринбург,2021-05-04,15:22,Нью-Йорк,2021-05-05,16:14,Boeing 777-400,8724
SU 1701,Екатеринбург,2021-05-04,05:30,Лондон,2021-05-05,15:22,Airbus A319,13397
SU 1903,Москва,2021-05-04,07:50,Нью-Йорк,2021-05-06,15:50,Boeing 777-400,23296
SU 1701,Владивосток,2021-05-05,07:50,Нью-Йорк,2021-05-07,00:50,Airbus A319,13460
IB 7270,Владивосток,2021-05-05,05:30,Париж,2021-05-07,15:50,Boeing 777-400,22891
SU 1701,Киров,2021-05-05,05:30,Москва,2021-05-05,07:50,Boeing 777-300,13543
SU 1702,Москва,2021-05-04,15:22,Владивосток,2021-05-07,16:14,Airbus A319,12666
SU 1702,Киров,2021-05-06,07:50,Лондон,2021-05-07,00:50,Airbus A319,8986
SU 1701,Лондон,2021-05-06,15:22,Екатеринбург,2021-05-06,16:14,Boeing 777-300,14351
IB 7270,Лондон,2021-05-04,03:05,Москва,2021-05-06,07:50,Boeing 777-400,13360
SU 1702,Екатеринбург,2021-05-05,15:22,Киров,2021-05-07,16:14,Airbus A319,23196
SU 1903,Нью-Йорк,2021-05-05,16:14,Екатеринбург,2021-05-07,16:14,Boeing 777-400,15229
SU 1701,Москва,2021-05-04,15:50,Лондон,2021-05-05,00:50,Airbus A319,13110
SU 1701,Лондон,2021-05-04,07:50,Москва,2021-05-06,03:05,Airbus A319,12819
SU 1702,Париж,2021-05-07,07:50,Москва,2021-05-07,15:22,Airbus A319,13024
SU 1701,Екатеринбург,2021-05-05,05:30,Лондон,2021-05-05,15:22,Boeing 777-400,15015
SU 1903,Лондон,2021-05-05,05:30,Владивосток,2021-05-06,07:50,Boeing 777-300,9126
SU 1903,Москва,2021-05-05,03:05,Лондон,2021-05-05,15:22,Boeing 777-400,14901
SU 1903,Екатеринбург,2021-05-04,16:14,Париж,2021-05-06,03:05,Boeing 777-300,8918
SU 1702,Екатеринбург,2021-05-04,15:22,Владивосток,2021-05-06,07:50,Boeing 777-300,23329
SU 1701,Париж,2021-05-04,15:50,Лондон,2021-05-06,15:50,Airbus A319,15182
SU 1903,Москва,2021-05-04,00:50,Киров,2021-05-06,03:05,Boeing 777-400,13211
SU 1701,Москва,2021-05-04,15:50,Нью-Йорк,2021-05-07,07:50,Boeing 777-400,13783
SU 1701,Париж,2021-05-04,03:05,Москва,2021-05-05,00:50,Boeing 777-400,15150
IB 7270,Екатеринбург,2021-05-04,00:50,Париж,2021-05-05,03:05,Boeing 777-300,14894
SU 1903,Париж,2021-05-04,03:05,Киров,2021-05-07,07:50,Boeing 777-300,23197
SU 1702,Киров,2021-05-04,15:22,Екатеринбург,2021-05-05,16:14,Boeing 777-400,13067
SU 1701,Лондон,2021-05-04,00:50,Киров,2021-05-07,00:50,Boeing 777-400,13295
IB 7270,Нью-Йорк,2021-05-05,16:14,Лондон,2021-05-06,03:05,Boeing 777-300,23575
IB 7270,Лондон,2021-05-04,07:50,Екатеринбург,2021-05-06,16:14,Boeing 777-300,12840
SU 1903,Париж,2021-05-05,07:50,Москва,2021-05-07,15:50,Boeing 777-400,13185
SU 1702,Екатеринбург,2021-05-06,05:30,Лондон,2021-05-07,16:14,Boeing 777-400,15183
SU 1701,Екатеринбург,2021-05-04,07:50,Владивосток,2021-05-07,03:05,Boeing 777-400,22641
SU 1702,Екатеринбург,2021-05-05,16:14,Киров,2021-05-06,15:22,Airbus A319,8682
SU 1903,Париж,2021-05-05,00:50,Москва,2021-05-07,15:22,Boeing 777-400,22664
SU 1903,Екатеринбург,2021-05-04,03:05,Париж,2021-05-05,07:50,Boeing 777-300,13867
SU 1903,Лондон,2021-05-04,15:50,Париж,2021-05-06,05:30,Boeing 777-300,9326
SU 1702,Москва,2021-05-06,15:50,Екатеринбург,2021-05-06,16:14,Boeing 777-300,9491
SU 1903,Екатеринбург,2021-05-05,03:05,Москва,2021-05-07,05:30,Boeing 777-300,9249
SU 1701,Москва,2021-05-05,03:05,Киров,2021-05-06,15:22,Boeing 777-300,9081
SU 1702,Париж,2021-05-05,07:50,Москва,2021-05-06,05:30,Boeing 777-300,13154
SU 1903,Москва,2021-05-04,15:50,Нью-Йорк,2021-05-06,03:05,Boeing 777-300,13065
SU 1903,Киров,2021-05-05,16:14,Нью-Йорк,2021-05-07,03:05,Airbus A319,13458
IB 7270,Екатеринбург,2021-05-06,15:50,Москва,2021-05-07,00:50,Boeing 777-400,14738
SU 1702,Лондон,2021-05-04,07:50,Москва,2021-05-07,07:50,Airbus A319,12561
SU 1702,Лондон,2021-05-06,00:50,Киров,2021-05-07,03:05,Boeing 777-400,23515
SU 1702,Екатеринбург,2021-05-04,07:50,Владивосток,2021-05-06,03:05,Boeing 777-300,13849
SU 1701,Москва,2021-05-04,05:30,Лондон,2021-05-06,15:22,Boeing 777-400,9162
SU 1702,Лондон,2021-05-05,03:05,Владивосток,2021-05-05,16:14,Boeing 777-300,23052
IB 7270,Киров,2021-05-07,05:30,Екатеринбург,2021-05-07,05:30,Boeing 777-300,8717
SU 1903,Владивосток,2021-05-06,07:50,Париж,2021-05-06,15:50,Boeing 777-300,23233
SU 1702,Париж,2021-05-06,07:50,Москва,2021-05-06,07:50,Airbus A319,13471
SU 1702,Екатеринбург,2021-05-04,15:22,Владивосток,2021-05-05,16:14,Airbus A319,14543
IB 7270,Лондон,2021-05-04,07:50,Париж,2021-05-05,03:05,Boeing 777-300,13798
IB 7270,Киров,2021-05-04,15:22,Париж,2021-05-07,03:05,Boeing 777-300,23309
SU 1702,Киров,2021-05-04,07:50,Париж,2021-05-06,03:05,Airbus A319,13478
SU 1701,Москва,2021-05-05,03:05,Нью-Йорк,2021-05-07,16:14,Airbus A319,14449
SU 1702,Париж,2021-05-04,03:05,Лондон,2021-05-05,15:50,Boeing 777-300,14391
IB 7270,Екатеринбург,2021-05-05,03:05,Нью-Йорк,2021-05-05,07:50,Airbus A319,15024
SU 1903,Владивосток,2021-05-07,00:50,Лондон,2021-05-07,00:50,Boeing 777-400,15049
IB 7270,Москва,2021-05-06,00:50,Лондон,2021-05-06,05:30,Airbus A319,23152
IB 7270,Екатеринбург,2021-05-04,07:50,Лондон,2021-05-06,03:05,Airbus A319,13766
SU 1701,Владивосток,2021-05-04,16:14,Париж,2021-05-07,00:50,Boeing 777-400,23115
SU 1903,Нью-Йорк,2021-05-04,15:22,Москва,2021-05-06,03:05,Boeing 777-300,14481
SU 1903,Киров,2021-05-04,07:50,Москва,2021-05-05,05:30,Airbus A319,13702
SU 1702,Екатеринбург,2021-05-04,16:14,Москва,2021-05-06,00:50,Airbus A319,23266
SU 1701,Нью-Йорк,2021-05-06,15:50,Екатеринбург,2021-05-07,16:14,Boeing 777-300,13461
SU 1702,Нью-Йорк,2021-05-06,03:05,Париж,2021-05-06,16:14,Boeing 777-400,23295
IB 7270,Нью-Йорк,2021-05-05,15:22,Киров,2021-05-06,16:14,Airbus A319,14869
SU 1701,Париж,2021-05-06,00:50,Киров,2021-05-07,15:22,Boeing 777-400,23197
SU 1701,Нью-Йорк,2021-05-04,05:30,Москва,2021-05-05,03:05,Airbus A319,15281
SU 1701,Киров,2021-05-07,03:05,Лондон,2021-05-07,15:50,Airbus A319,13343
SU 1903,Париж,2021-05-05,05:30,Нью-Йорк,2021-05-06,15:22,Airbus A319,23417
IB 7270,Екатеринбург,2021-05-05,07:50,Киров,2021-05-06,07:50,Boeing 777-300,9361
SU 1702,Киров,2021-05-04,03:05,Владивосток,2021-05-04,16:14,Airbus A319,23224
SU 1702,Киров,2021-05-04,15:22,Москва,2021-05-06,07:50,Airbus A319,13096
SU 1701,Лондон,2021-05-04,05:30,Екатеринбург,2021-05-05,15:22,Airbus A319,23315
SU 1702,Екатеринбург,2021-05-06,05:30,Москва,2021-05-07,07:50,Airbus A319,15152
SU 1903,Киров,2021-05-05,07:50,Париж,2021-05-07,16:14,Boeing 777-400,8988
IB 7270,Москва,2021-05-05,07:50,Владивосток,2021-05-07,15:22,Boeing 777-400,9411
IB 7270,Екатеринбург,2021-05-05,05:30,Владивосток,2021-05-07,05:30,Boeing 777-400,22940
SU 1903,Москва,2021-05-06,15:50,Париж,2021-05-07,16:14,Airbus A319,13329
IB 7270,Москва,2021-05-04,16:14,Лондон,2021-05-05,07:50,Airbus A319,23162
SU 1701,Нью-Йорк,2021-05-06,00:50,Париж,2021-05-07,15:22,Boeing 777-400,14647
SU 1903,Лондон,2021-05-05,07:50,Киров,2021-05-06,03:05,Boeing 777-400,15320
SU 1903,Нью-Йорк,2021-05-06,05:30,Париж,2021-05-06,15:22,Airbus A319,14666
SU 1903,Нью-Йорк,2021-05-05,15:22,Владивосток,2021-05-07,00:50,Boeing 777-400,8689
SU 1702,Лондон,2021-05-04,15:22,Нью-Йорк,2021-05-07,15:22,Boeing 777-300,13522
SU 1702,Нью-Йорк,2021-05-05,03:05,Екатеринбург,2021-05-07,15:22,Boeing 777-400,14923
